label,url,brand,name,skin_type,spf,concern,concern2,concern3,key_ingredient,formulation,image
face-moisturisers,https://www.myntra.com/face-moisturisers/garnier/garnier-women-set-of-2-skin-naturals-sun-control-daily-moisturisers-with-spf-15/9350619/buy,Garnier,Women Set of 2 Skin Naturals Sun Control Daily Moisturisers with SPF 15,Combination,15 to 30,General Care,,,,Cream,https://images.shajgoj.com/wp-content/uploads/2018/09/garnier_skin_naturals_-_sun_control_daily_moisturizer_spf_15-600.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-milky-foam-sustainable-face-wash--skin-perfect-whitening-cream/14465442/buy,LOreal,Paris White Perfect Milky Foam Sustainable Face Wash & Skin Perfect Whitening Cream,All,15 to 30,Fine Lines and Wrinkles,General Care,Dull Skin,Collagen,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/dot--key/dot--key-cica-calming-skin-renewing-night-gel---60-ml/15700096/buy,DOT & KEY,Cica Calming Skin Renewing Night Gel - 60 ml,Oily,,Pigmentation,Acne or Blemishes,Redness,Niacinamide,Cream,https://cdn.shopify.com/s/files/1/0493/6381/2514/products/2_24dcc9ef-37d1-48cc-9af8-6f99a26b8a28_1024x1024.png?v=1656325183
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-rapid-wrinkle-repair-night-moisturizer---29-ml/2427948/buy,Neutrogena,Rapid Wrinkle Repair Night Moisturizer - 29 ml,Normal,,Fine Lines and Wrinkles,Pigmentation,,Retinol,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/kama-ayurveda/kama-ayurveda-set-of-women-rejuvenating-brightening-night-cream--unisex-eladi-face-cream/13274490/buy,KAMA AYURVEDA,Set of Women Rejuvenating Brightening Night Cream & Unisex Eladi Face Cream,Normal,,Hydration,Dull Skin,Dark Spots,Coconut,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/dove/dove-body-love-supple-bounce-body-butter-paraben-free-145-g/15506304/buy,Dove,Body Love Supple Bounce Body Butter Paraben Free 145 g,Normal,,Dryness,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/the-body-shop/the-body-shop-vitamin-e-range-tea-tree-sustainable-night-lotion-for-blemished-skin-30-ml/2434708/buy,THE BODY SHOP,The Body Shop Vitamin E Range Tea Tree Sustainable Night Lotion for Blemished Skin 30 ml,Combination,,Acne or Blemishes,Excess Oil,,Tea Tree,Lotion,https://www.makeupandbeautyforever.com/wp-content/uploads/2018/03/The-Body-Shop-Tea-Tree-Night-Lotion-Review-Swatches-922x692.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/vlcc/vlcc-snigdha-skin-whitening-day-cream-spf-25-50g/9761613/buy,VLCC,Snigdha Skin Whitening Day Cream SPF 25 50g,Normal,15 to 30,,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-women-age-protect-anti-ageing-cream-18-g-/13509872/buy,Olay,Women Age Protect Anti-Ageing Cream 18 g,Normal,,Fine Lines and Wrinkles,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-whiteglow-skin-tightening--brightening-gel-creme-with-spf-25-40g/1920200/buy,Lotus Herbals,Sustainable WhiteGlow Skin Tightening Brightening Gel Creme with SPF 25 40g,Normal,15 to 30,Softening and Smoothening,,,,Gel,
